Event	ID	Name			Wwise Object Path	Notes
	317641954	ButtonPress			\Default Work Unit\UI\ButtonPress	
	454121546	Scroll			\Default Work Unit\UI\Scroll	
	892714673	Human_Spearman_Attack			\Default Work Unit\Enemies\Human_Spearman_Attack	
	953277036	Resume			\Default Work Unit\UI\Resume	
	1942692385	Dash			\Default Work Unit\Adjudicator\Attacks and Abilities\Dash	
	2197345151	Thrust			\Default Work Unit\Adjudicator\Attacks and Abilities\Thrust	
	2547765723	Torch_Plant			\Default Work Unit\Adjudicator\Attacks and Abilities\Torch_Plant	
	3055381918	Shine			\Default Work Unit\Adjudicator\Attacks and Abilities\Shine	
	3092587493	Pause			\Default Work Unit\UI\Pause	
	3244706930	Human_Basic_Attack			\Default Work Unit\Enemies\Human_Basic_Attack	
	3498381063	Shadow_Brute_Attack			\Default Work Unit\Enemies\Shadow_Brute_Attack	
	3607314950	Prepare_Footsteps			\Default Work Unit\Adjudicator\Prepare_Footsteps	
	3817024617	Shadow_Basic_Attack			\Default Work Unit\Enemies\Shadow_Basic_Attack	
	3823776748	Human_Brute_Attack			\Default Work Unit\Enemies\Human_Brute_Attack	
	4107276880	Slash			\Default Work Unit\Adjudicator\Attacks and Abilities\Slash	

Game Parameter	ID	Name			Wwise Object Path	Notes
	2557281390	PlayerMovementSpeed			\Default Work Unit\PlayerMovementSpeed	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	28478523	Torch_Plant_01	Y:\ProjectTorch\Project Torch\Project Torch_WwiseProject\.cache\Mac\SFX\Close_1_B7F88020.wem		\Actor-Mixer Hierarchy\Default Work Unit\Enemies\Basic Attack\Torch_Plant_01		5122
	78114416	Bootsteps on wood_04	Y:\ProjectTorch\Project Torch\Project Torch_WwiseProject\.cache\Mac\SFX\Bootsteps on wood_C9C93460.wem		\Actor-Mixer Hierarchy\Default Work Unit\Adjudicator\Footsteps\Bootsteps on wood_04		3934
	92716449	pie_pan- 06	Y:\ProjectTorch\Project Torch\Project Torch_WwiseProject\.cache\Mac\SFX\pie_pan- 06_C6DDB7C6.wem		\Actor-Mixer Hierarchy\Default Work Unit\Adjudicator\Shine\pie_pan- 06		5827
	100672609	Air Burst Short 12	Y:\ProjectTorch\Project Torch\Project Torch_WwiseProject\.cache\Mac\SFX\Air Burst Short 12_F7D0E330.wem		\Actor-Mixer Hierarchy\Default Work Unit\Adjudicator\Slash\Air Burst Short 12		1499
	128772641	Bootsteps on wood_01	Y:\ProjectTorch\Project Torch\Project Torch_WwiseProject\.cache\Mac\SFX\Bootsteps on wood_122954F5.wem		\Actor-Mixer Hierarchy\Default Work Unit\Adjudicator\Footsteps\Bootsteps on wood_01		3704
	145434304	Bootsteps on wood_05	Y:\ProjectTorch\Project Torch\Project Torch_WwiseProject\.cache\Mac\SFX\Bootsteps on wood_4E9B6C00.wem		\Actor-Mixer Hierarchy\Default Work Unit\Adjudicator\Footsteps\Bootsteps on wood_05		3575
	186580846	Resume	Y:\ProjectTorch\Project Torch\Project Torch_WwiseProject\.cache\Mac\SFX\Air Burst Short 01_F7D0E330.wem		\Actor-Mixer Hierarchy\Default Work Unit\UI\Resume		2684
	205875646	Bootsteps on wood_02	Y:\ProjectTorch\Project Torch\Project Torch_WwiseProject\.cache\Mac\SFX\Bootsteps on wood_EE60A388.wem		\Actor-Mixer Hierarchy\Default Work Unit\Adjudicator\Footsteps\Bootsteps on wood_02		3896
	252553299	Scroll	Y:\ProjectTorch\Project Torch\Project Torch_WwiseProject\.cache\Mac\SFX\Thick Plastic Hits 05_B6CDA5A2.wem		\Actor-Mixer Hierarchy\Default Work Unit\UI\Scroll		1053
	304949470	Air Burst Short 11	Y:\ProjectTorch\Project Torch\Project Torch_WwiseProject\.cache\Mac\SFX\Air Burst Short 11_F7D0E330.wem		\Actor-Mixer Hierarchy\Default Work Unit\Adjudicator\Slash\Air Burst Short 11		2672
	309056163	Bootsteps on wood	Y:\ProjectTorch\Project Torch\Project Torch_WwiseProject\.cache\Mac\SFX\Bootsteps on wood_AFBCAD86.wem		\Actor-Mixer Hierarchy\Default Work Unit\Adjudicator\Footsteps\Bootsteps on wood		3635
	553166943	Air Burst Short 10	Y:\ProjectTorch\Project Torch\Project Torch_WwiseProject\.cache\Mac\SFX\Air Burst Short 10_F7D0E330.wem		\Actor-Mixer Hierarchy\Default Work Unit\Adjudicator\Slash\Air Burst Short 10		2322
	824997395	Construction01_denoise	Y:\ProjectTorch\Project Torch\Project Torch_WwiseProject\.cache\Mac\SFX\Construction01_denoise_7CFCEDFE.wem		\Actor-Mixer Hierarchy\Default Work Unit\Adjudicator\Thrust\Construction01_denoise		5516
	844726469	Dash	Y:\ProjectTorch\Project Torch\Project Torch_WwiseProject\.cache\Mac\SFX\Large knife swings_2_CBC2B55E.wem		\Actor-Mixer Hierarchy\Default Work Unit\Adjudicator\Dash		2511
	855263217	Bootsteps on wood_06	Y:\ProjectTorch\Project Torch\Project Torch_WwiseProject\.cache\Mac\SFX\Bootsteps on wood_68BF4BF1.wem		\Actor-Mixer Hierarchy\Default Work Unit\Adjudicator\Footsteps\Bootsteps on wood_06		3860
	861456897	Bootsteps on wood_03	Y:\ProjectTorch\Project Torch\Project Torch_WwiseProject\.cache\Mac\SFX\Bootsteps on wood_E4E86892.wem		\Actor-Mixer Hierarchy\Default Work Unit\Adjudicator\Footsteps\Bootsteps on wood_03		3672
